Date;Hour;P;Test
01/01/2015;0;138,9;0,175
01/01/2015;1;141,9;0,375
01/01/2015;2;142,1;0,5
01/01/2015;3;141,8;-0,875
01/01/2015;4;139,7;-1,4
01/01/2015;5;155,2;-1,375
01/01/2015;6;167,8;-1,15
01/01/2015;7;171,4;-0,725
01/01/2015;8;144,4;-1,075
01/01/2015;9;127;-0,375
01/01/2015;10;128,2;1,35
01/01/2015;11;130,7;2,675
01/01/2015;12;129,2;4,75
01/01/2015;13;126,8;6,15
01/01/2015;14;128;6,5
01/01/2015;15;127,2;6,375
01/01/2015;16;120,1;5,35
01/01/2015;17;145,4;4,425
01/01/2015;18;148,2;3,875
01/01/2015;19;142,4;3,3
01/01/2015;20;138,3;3,5
01/01/2015;21;128,4;3,175
01/01/2015;22;132,9;2,525
01/01/2015;23;123;2,025
02/01/2015;0;132,2;1,275
02/01/2015;1;131,6;1,1
02/01/2015;2;131,3;0,65
02/01/2015;3;141,9;0,475
02/01/2015;4;138,4;0,375
02/01/2015;5;148;0,375
02/01/2015;6;181,6;0,175
02/01/2015;7;188,1;-0,275
02/01/2015;8;194,9;0,2
02/01/2015;9;201,3;0,575
02/01/2015;10;196,3;1,975
02/01/2015;11;190,9;4,2
02/01/2015;12;189,1;7,15
02/01/2015;13;193,3;8,575
02/01/2015;14;193;9,35
02/01/2015;15;193,7;9,25
02/01/2015;16;205,6;8,35
02/01/2015;17;223,6;8,025
02/01/2015;18;218,8;7,7
02/01/2015;19;196,8;6,9
02/01/2015;20;170,5;6,575
02/01/2015;21;165,8;6,425
02/01/2015;22;161,4;6,375
02/01/2015;23;118,8;6,125
03/01/2015;0;124,2;6,175
03/01/2015;1;133,4;5,55
03/01/2015;2;132,9;4,425
03/01/2015;3;131,9;4,275
03/01/2015;4;126,2;4,4
03/01/2015;5;150;4
03/01/2015;6;188,7;3,7
03/01/2015;7;198,9;3,575
03/01/2015;8;190,6;3,6
03/01/2015;9;180,8;4,475
03/01/2015;10;175,2;6,6
03/01/2015;11;173;8,925
03/01/2015;12;174,3;9,95
03/01/2015;13;162;10,05
03/01/2015;14;132,7;10,025
03/01/2015;15;120,5;10,2
03/01/2015;16;126,2;9,2
03/01/2015;17;123;7,175
03/01/2015;18;129,1;5,75
03/01/2015;19;118,5;4,95
03/01/2015;20;115,5;4,95
03/01/2015;21;118;4,475
03/01/2015;22;116,2;3,875
03/01/2015;23;120,9;4,35
04/01/2015;0;135,4;4,25
04/01/2015;1;141,2;5,35
04/01/2015;2;138,8;13,475
04/01/2015;3;144,9;18,6
04/01/2015;4;143,8;18,4
04/01/2015;5;136;18,4
04/01/2015;6;129,9;18,475
04/01/2015;7;138,8;18,4
04/01/2015;8;123,5;18,3
04/01/2015;9;122,5;18,65
04/01/2015;10;125,5;18,6
04/01/2015;11;127,8;16,65
04/01/2015;12;121,3;17,1
04/01/2015;13;122,1;18,225
04/01/2015;14;123;19,45
04/01/2015;15;126,2;18,85
04/01/2015;16;128,1;17,6
04/01/2015;17;129,9;15,575
04/01/2015;18;129,5;14,4
04/01/2015;19;134,4;13,525
04/01/2015;20;121,6;12,425
04/01/2015;21;116,9;11,675
04/01/2015;22;116,7;10,575
04/01/2015;23;123,2;10,175
05/01/2015;0;138,2;9,425
05/01/2015;1;139,9;8,525
05/01/2015;2;134,5;7,95
05/01/2015;3;130,5;7,575
05/01/2015;4;128,6;6,6
05/01/2015;5;172,9;5,35
05/01/2015;6;194,2;3,675
05/01/2015;7;221,4;3,575
05/01/2015;8;255,7;3,65
05/01/2015;9;290,1;6,1
05/01/2015;10;260,4;8,025
05/01/2015;11;288,5;10,65
05/01/2015;12;251,8;12,95
05/01/2015;13;241,7;13,875
05/01/2015;14;237,1;12,875
05/01/2015;15;227,5;13,3
05/01/2015;16;230,6;11,925
05/01/2015;17;236,5;10,1
05/01/2015;18;238,1;9,425
05/01/2015;19;211,7;9,025
05/01/2015;20;174,1;8,225
05/01/2015;21;160,1;6,375
05/01/2015;22;157;5,925
05/01/2015;23;147,6;5,5
06/01/2015;0;148,9;4,825
