datetime;ee_consumption_kWh;t_out_C
01/01/2016 00:00;140;5,125
01/01/2016 01:00;138,9;4,975
01/01/2016 02:00;141,4;4,7
01/01/2016 03:00;145,1;4,45
01/01/2016 04:00;143,9;4,125
01/01/2016 05:00;150;4,125
01/01/2016 06:00;152,9;4,325
01/01/2016 07:00;156,6;4,575
01/01/2016 08:00;150,1;4,825
01/01/2016 09:00;129,5;4,75
01/01/2016 10:00;128;4,625
01/01/2016 11:00;117,7;4,725
01/01/2016 12:00;118,2;5,15
01/01/2016 13:00;123,4;5,325
01/01/2016 14:00;115,8;5,5
01/01/2016 15:00;113,5;5,425
01/01/2016 16:00;124,2;5,45
01/01/2016 17:00;149,5;5,35
01/01/2016 18:00;157,6;5,225
01/01/2016 19:00;156;5,225
01/01/2016 20:00;156,3;5,225
01/01/2016 21:00;156,5;5,1
01/01/2016 22:00;155,2;5,05
01/01/2016 23:00;148;5,2
02/01/2016 00:00;143,2;5,2
02/01/2016 01:00;142;4,875
02/01/2016 02:00;143,9;4,65
02/01/2016 03:00;142,4;4,375
02/01/2016 04:00;142,2;4,225
02/01/2016 05:00;149,8;3,975
02/01/2016 06:00;151,6;4
02/01/2016 07:00;156,7;3,675
02/01/2016 08:00;152,8;3,95
02/01/2016 09:00;146,7;3,9
02/01/2016 10:00;150,8;4,15
02/01/2016 11:00;141,7;3,7
02/01/2016 12:00;138,8;3,475
02/01/2016 13:00;135,4;3,625
02/01/2016 14:00;127,1;3,75
02/01/2016 15:00;140,4;3,575
02/01/2016 16:00;132,7;3,35
02/01/2016 17:00;148,4;3,325
02/01/2016 18:00;157,7;3,225
02/01/2016 19:00;157,1;3,1
02/01/2016 20:00;154,7;2,975
02/01/2016 21:00;153;3,15
02/01/2016 22:00;153;3,075
02/01/2016 23:00;148,6;3,275
03/01/2016 00:00;145,2;2,6
03/01/2016 01:00;147,7;2,25
03/01/2016 02:00;145,5;2,45
03/01/2016 03:00;147,7;2,55
03/01/2016 04:00;146,6;2,575
03/01/2016 05:00;147,3;2,575
03/01/2016 06:00;147,3;2,525
03/01/2016 07:00;152,7;2,125
03/01/2016 08:00;133,6;1,825
03/01/2016 09:00;119,1;1,975
